PLU|DC|WILAYAH|FLAGPROD|MINOR|TIPE_GDG
10011235|G097|MDO||1|
10011262|G097|MDO|BAP=Y|1000|
10011311|G097|MDO||0|
10011327|G097|MDO|TBO=Y|1|
10011424|G097|MDO||1|
10011440|G097|MDO||1|
10011452|G097|MDO||2|
10011507|G097|MDO||1|
10011570|G097|MDO||0|
10011593|G097|MDO||1|
10011626|G097|MDO||0|
10011772|G097|MDO||1|
10011784|G097|MDO||1|C
10011801|G097|MDO||0|
10011802|G097|MDO||0|
10011819|G097|MDO||1|
10011850|G097|MDO|TBO=N|1|
10011852|G097|MDO||1|
10011867|G097|MDO||2|
10011976|G097|MDO||1|
10012104|G097|MDO||0|
10012172|G097|MDO||1|
10012198|G097|MDO||1|
10012263|G097|MDO||2|
10012304|G097|MDO|TBO=Y|12|P
10012338|G097|MDO|TBO=N|24|
10012386|G097|MDO||1|
10012397|G097|MDO||1|
10012548|G097|MDO||1|
10012597|G097|MDO||0|
10012669|G097|MDO|TBO=N|1|
10012742|G097|MDO|TBO=N|2|
10012752|G097|MDO||1|
10012753|G097|MDO||12|
10012757|G097|MDO||10|
10012827|G097|MDO||1|
10012828|G097|MDO||1|
10012840|G097|MDO||1|
10012917|G097|MDO||1|
10012967|G097|MDO|TBO=N|1|
10013027|G097|MDO||2|
10013035|G097|MDO||1|
10013039|G097|MDO||1|C
10013041|G097|MDO||1|
10013050|G097|MDO|TBO=Y|0|
10013100|G097|MDO||24|
10013107|G097|MDO||1|
10013160|G097|MDO||5|
10013184|G097|MDO|BAP=Y|1000|
10013212|G097|MDO||1|
10013352|G097|MDO||1|
10013353|G097|MDO||1|
10013360|G097|MDO||1|
10013361|G097|MDO||1|
10013365|G097|MDO||1|
10013367|G097|MDO||1|
10013548|G097|MDO|BAP=Y|1000|
10013557|G097|MDO|BAP=Y|1|
10013558|G097|MDO|BAP=Y|1|
10013569|G097|MDO||1|
10013572|G097|MDO||1|
10013575|G097|MDO|TBO=N|1|
10013671|G097|MDO||2|C
10013693|G097|MDO||1|
10013751|G097|MDO||1|
10013821|G097|MDO||1|
10013844|G097|MDO|BAP=Y|5|
10013885|G097|MDO||4|
10014035|G097|MDO||1|
10014036|G097|MDO||1|
10014075|G097|MDO||2|
10014129|G097|MDO||1|
10014154|G097|MDO||1|
10014168|G097|MDO|TBO=N|2|
10014246|G097|MDO|TBO=Y|2|
10014260|G097|MDO||1|
10014263|G097|MDO||1|
10014292|G097|MDO||24|
10014293|G097|MDO||24|
10014404|G097|MDO||4|
10014526|G097|MDO||10|
10014528|G097|MDO||10|
10014567|G097|MDO||2|
10014740|G097|MDO||1|
10014741|G097|MDO||1|
10014778|G097|MDO||1|
10015124|G097|MDO|TBO=N|2|
10015137|G097|MDO||0|
10015149|G097|MDO|TBO=N|1|
10015195|G097|MDO||0|
10015228|G097|MDO||2|C
10015314|G097|MDO||1|
10015367|G097|MDO|BAP=Y|1000|
10015375|G097|MDO||0|
10015376|G097|MDO||0|
10015378|G097|MDO||0|
10015394|G097|MDO||1|
10015435|G097|MDO||1|
10015436|G097|MDO||1|
10015438|G097|MDO||1|
10015461|G097|MDO||1|
10015490|G097|MDO||0|
10015523|G097|MDO||1|
10015526|G097|MDO||1|
10015532|G097|MDO|TBO=N|24|
10015550|G097|MDO||2|
10015646|G097|MDO|TBO=Y|1|
10015648|G097|MDO||1|
10015650|G097|MDO||1|
10015651|G097|MDO||1|
10015652|G097|MDO||1|
10015653|G097|MDO||1|
10015683|G097|MDO||1|
10015684|G097|MDO|TBO=Y|1|
10015694|G097|MDO||1|
10015698|G097|MDO||3|
10015814|G097|MDO||1|
10015843|G097|MDO||0|
10015861|G097|MDO|TBO=N|2|
10015919|G097|MDO||1|
10015921|G097|MDO||1|
10015954|G097|MDO||40|
10015971|G097|MDO||0|
10016026|G097|MDO||2|
10016064|G097|MDO||1|
10016079|G097|MDO|TBO=N|2|
10016160|G097|MDO||1|
10016170|G097|MDO||24|
10016209|G097|MDO||1|
10016247|G097|MDO||1|
10016300|G097|MDO|BAP=Y|1|
10016301|G097|MDO||1|
10016327|G097|MDO||1|
10016349|G097|MDO||0|
10016419|G097|MDO|TBO=N|1|
10016500|G097|MDO||10|
10016508|G097|MDO||0|
10016509|G097|MDO||0|
10016520|G097|MDO||1|
10016646|G097|MDO||12|
10016650|G097|MDO||2|
10016716|G097|MDO||1|
10016718|G097|MDO||1|
10016719|G097|MDO||1|
10016755|G097|MDO||1|
10016785|G097|MDO||1|
10016793|G097|MDO||1|
10016833|G097|MDO|BAP=Y|1000|
10016899|G097|MDO||40|
10016900|G097|MDO||40|
10017026|G097|MDO||1|
10017154|G097|MDO|TBO=N|1|
10017209|G097|MDO||0|
10017210|G097|MDO|BAP=Y|1000|
10017288|G097|MDO||1|
10017296|G097|MDO||2|
10017435|G097|MDO|TBO=N|1|
10017484|G097|MDO|TBO=Y|1|
10017675|G097|MDO||2|
10017884|G097|MDO||1|
10018154|G097|MDO||1|
10018282|G097|MDO||0|
10018618|G097|MDO||1|
10018786|G097|MDO||1|
10018871|G097|MDO||1|
10018873|G097|MDO||1|
10018875|G097|MDO||1|
10018962|G097|MDO||1|
10019004|G097|MDO||20|
10019114|G097|MDO||1|
10019118|G097|MDO||1|
10019138|G097|MDO|BAP=Y|1000|
10019160|G097|MDO||0|
10019163|G097|MDO||0|
10019229|G097|MDO||2|
10019361|G097|MDO||1|C
10019369|G097|MDO||1|
10019370|G097|MDO||1|C
10019513|G097|MDO||1|
10019530|G097|MDO||0|
10019547|G097|MDO||0|
10019614|G097|MDO||40|
10019615|G097|MDO||1|
10019695|G097|MDO|TBO=Y|1|
10019696|G097|MDO|TBO=Y|1|
10019698|G097|MDO|TBO=N|1|
10019700|G097|MDO|BAP=Y|1|
10019725|G097|MDO||1|
10019753|G097|MDO||1|
10019764|G097|MDO||1|
10019765|G097|MDO||1|
10019818|G097|MDO|BAP=Y,TBO=Y|1|
10019884|G097|MDO||1|
10019948|G097|MDO|TBO=Y|1|
10019958|G097|MDO||0|
10019962|G097|MDO|BAP=Y|1|
10019963|G097|MDO|BAP=Y|1000|
10020144|G097|MDO||1|
10020147|G097|MDO||1|
10020154|G097|MDO|TBO=Y|1|
10020193|G097|MDO||1|
10020195|G097|MDO||1|
10020536|G097|MDO||1|
10020671|G097|MDO||1|
10020672|G097|MDO||1|
10020673|G097|MDO||1|
10020713|G097|MDO|TBO=Y|6|
10020714|G097|MDO||1|
10020784|G097|MDO||2|
10020940|G097|MDO||1|
10021003|G097|MDO|TBO=Y|6|
10021008|G097|MDO||24|
10021010|G097|MDO||24|
10021069|G097|MDO||1|
10021170|G097|MDO||1|
10021392|G097|MDO||2|
10021949|G097|MDO||1|
10021962|G097|MDO||1|
10021968|G097|MDO||1|C
10022100|G097|MDO||1|
10022101|G097|MDO||1|
10022118|G097|MDO||36|
10022197|G097|MDO||3|
10022211|G097|MDO||0|
10022223|G097|MDO||0|
10022248|G097|MDO|TBO=Y|1|
10022319|G097|MDO||1|
10022333|G097|MDO||2|
10022372|G097|MDO||1|
10022373|G097|MDO||1|
10022402|G097|MDO|TBO=N|1|
10022461|G097|MDO||1|
10022534|G097|MDO||1|
10022626|G097|MDO||0|
10022742|G097|MDO||1|
10023001|G097|MDO||1|C
10023002|G097|MDO||2|
10023003|G097|MDO||1|
10023137|G097|MDO||1|
10023206|G097|MDO||1|
10023214|G097|MDO||1|
10023475|G097|MDO||4|
10023495|G097|MDO||1|
10023618|G097|MDO||1|
10023759|G097|MDO||0|
10023778|G097|MDO||1|
10023779|G097|MDO||1|
10023780|G097|MDO||1|
10023789|G097|MDO|TBO=N|40|
10023790|G097|MDO||40|
10023791|G097|MDO||40|
10023792|G097|MDO||40|
10023833|G097|MDO||2|
10024188|G097|MDO||2|
10024189|G097|MDO||2|
10024229|G097|MDO||1|
10024523|G097|MDO||10|
10024555|G097|MDO||1|
10024614|G097|MDO|BAP=Y|1000|
10025006|G097|MDO|TBO=N|4|
10025075|G097|MDO||10|
10025196|G097|MDO||1|
10025292|G097|MDO|TBO=N|1|
10025295|G097|MDO||10|
10025301|G097|MDO||1|
10025302|G097|MDO||1|
10025325|G097|MDO||1|
10025326|G097|MDO||1|
10025373|G097|MDO||1|
10025410|G097|MDO||2|
10025411|G097|MDO|TBO=N|2|
10025415|G097|MDO||20|
10025416|G097|MDO||20|
10025417|G097|MDO||20|
10025449|G097|MDO||2|
10025482|G097|MDO||1|
10025484|G097|MDO|TBO=N|2|
10025645|G097|MDO||1|
10025646|G097|MDO||2|
10025647|G097|MDO||1|
10025816|G097|MDO||0|
10025846|G097|MDO||1|
10025848|G097|MDO||1|
10025849|G097|MDO||1|
10025991|G097|MDO||24|
10025994|G097|MDO||6|
10026038|G097|MDO|TBO=N|4|
10026134|G097|MDO||1|
10026416|G097|MDO|TBO=N|1|
10026483|G097|MDO||1|
10026484|G097|MDO||0|
10026500|G097|MDO||1|
10026501|G097|MDO|TBO=N|40|
10026611|G097|MDO||2|
10026612|G097|MDO||1|
10026622|G097|MDO||1|
10026626|G097|MDO||1|
10026657|G097|MDO||1|
10026766|G097|MDO||0|
10026786|G097|MDO||0|
10026787|G097|MDO||0|
10026788|G097|MDO||0|
10026850|G097|MDO||1|
10026869|G097|MDO||0|
10026892|G097|MDO||1|
10026893|G097|MDO||1|
10026930|G097|MDO||1|
10026995|G097|MDO|TBO=N|12|
10027065|G097|MDO||1|
10027066|G097|MDO||1|
10027090|G097|MDO||1|
10027155|G097|MDO||0|
10027167|G097|MDO||1|
10027192|G097|MDO||12|
10027329|G097|MDO||2|
10027389|G097|MDO||1|
10027399|G097|MDO||1|
10027468|G097|MDO||1|
10027527|G097|MDO||12|
10027546|G097|MDO|BAP=Y|900|
10027672|G097|MDO||5|
10027688|G097|MDO|TBO=Y|1|
10027768|G097|MDO|TBO=N|1|
10027774|G097|MDO||9|
10027952|G097|MDO|TBO=N|1|
10028140|G097|MDO||1|
10028190|G097|MDO||1|
10028390|G097|MDO||2|
10028410|G097|MDO||1|
10028422|G097|MDO||1|
10028501|G097|MDO||1|
10028574|G097|MDO|TBO=N|10|
10028608|G097|MDO||1|
10028669|G097|MDO||1|
10028677|G097|MDO|TBO=N|4|
10028739|G097|MDO|TBO=N|1|
10028740|G097|MDO|TBO=N|1|
10028800|G097|MDO|TBO=Y|1|
10028946|G097|MDO||0|
10029236|G097|MDO|TBO=Y|1|
10029299|G097|MDO|TBO=Y|1|
10029300|G097|MDO|TBO=Y|1|
10029536|G097|MDO||0|
10029538|G097|MDO||0|
10029540|G097|MDO||0|
10029542|G097|MDO||0|
10029543|G097|MDO||1|
10029545|G097|MDO||0|
10029632|G097|MDO||1|
10029724|G097|MDO||4|
10029829|G097|MDO||1|
10029898|G097|MDO||1|
10030051|G097|MDO||1|
10030059|G097|MDO||1|
10030189|G097|MDO||40|
10030193|G097|MDO||40|
10030201|G097|MDO||2|
10030223|G097|MDO||2|
10030397|G097|MDO|TBO=N|1|
10030533|G097|MDO|TBO=Y|1|
10030571|G097|MDO|BAP=Y|1000|
10030665|G097|MDO|TBO=N|2|
10030733|G097|MDO||10|
10030783|G097|MDO||2|
10030784|G097|MDO||1|
10030787|G097|MDO|TBO=Y|1|
10030788|G097|MDO|TBO=Y|1|
10030804|G097|MDO||2|
10030805|G097|MDO||2|
10030806|G097|MDO||2|
10030819|G097|MDO||5|
10030867|G097|MDO|TBO=Y|2|
10030924|G097|MDO||1|
10030925|G097|MDO||1|
10031038|G097|MDO|TBO=N|1|
10031156|G097|MDO||1|
10031201|G097|MDO||1|
10031203|G097|MDO||6|
10031214|G097|MDO||1|
10031256|G097|MDO||2|
10031383|G097|MDO||12|
10031393|G097|MDO||1|
10031396|G097|MDO||1|
10031438|G097|MDO||1|
10031445|G097|MDO||0|
10031463|G097|MDO||2|
10031465|G097|MDO||1|
10031470|G097|MDO||1|
10031506|G097|MDO|TBO=Y|1|
10031572|G097|MDO||2|
10031595|G097|MDO||28|
10031694|G097|MDO||0|
10031825|G097|MDO||2|
10031961|G097|MDO||2|
10031962|G097|MDO||2|
10031976|G097|MDO||1|
10032028|G097|MDO||1|
10032077|G097|MDO||1|
10032089|G097|MDO||1|
10032229|G097|MDO||2|
10032310|G097|MDO||50|
10032483|G097|MDO||2|
10032520|G097|MDO||1|
10032571|G097|MDO||1|
10032668|G097|MDO||1|
10032795|G097|MDO||1|
10032895|G097|MDO||1|
10032936|G097|MDO||1|
10032952|G097|MDO||1|
10033006|G097|MDO||1|
10033008|G097|MDO||1|
10033009|G097|MDO||1|
10033018|G097|MDO||1|
10033024|G097|MDO||2|
10033139|G097|MDO||2|
10033236|G097|MDO||1|
10033291|G097|MDO||5|
10033417|G097|MDO||1|
10033418|G097|MDO||1|
10033423|G097|MDO||2|
10033424|G097|MDO|TBO=Y|1|
10033468|G097|MDO||0|
10033469|G097|MDO||0|
10033560|G097|MDO||1|
10033567|G097|MDO|TBO=N|24|
10033569|G097|MDO||1|
10033572|G097|MDO||1|
10033599|G097|MDO|BAP=Y|1|
10033610|G097|MDO|TBO=N|1|
10033611|G097|MDO|TBO=N|1|
10033661|G097|MDO||0|
10033738|G097|MDO|TBO=Y|1|
10033782|G097|MDO|TBO=Y|1|
10033814|G097|MDO||1|
10033815|G097|MDO|TBO=N|1|
10033899|G097|MDO||1|
10033928|G097|MDO|TBO=Y|1|
10033930|G097|MDO||1|
10033931|G097|MDO||2|
10034123|G097|MDO|TBO=N|4|
10034124|G097|MDO|TBO=Y|1|
10034179|G097|MDO||2|
10034261|G097|MDO||0|
10034262|G097|MDO|BAP=Y|1000|
10034330|G097|MDO||1|
10034341|G097|MDO||1|
10034347|G097|MDO||1|
10034403|G097|MDO|TBO=N|1|
10034567|G097|MDO|TBO=Y|20|
10034652|G097|MDO||1|
10034732|G097|MDO||3|
10034745|G097|MDO||1|
10034797|G097|MDO|TBO=N|6|
10034798|G097|MDO||2|
10034899|G097|MDO|TBO=Y|2|
10034901|G097|MDO||6|
10035016|G097|MDO||2|
10035030|G097|MDO||10|
10035165|G097|MDO|TBO=N|24|
10035167|G097|MDO||1|
10035178|G097|MDO||1|
10035234|G097|MDO||1|
10035277|G097|MDO||1|
10035319|G097|MDO||1|
10035320|G097|MDO|TBO=N|2|
10035326|G097|MDO||1|
10035551|G097|MDO||1|
10035566|G097|MDO||150|
10035639|G097|MDO||30|
10035852|G097|MDO||1|
10035858|G097|MDO||1|
10035865|G097|MDO||1|
10035871|G097|MDO||1|
10035883|G097|MDO|TBO=N|2|
10035892|G097|MDO||1|
10035898|G097|MDO||2|
10035899|G097|MDO||1|
10035900|G097|MDO||2|
10035954|G097|MDO||0|
10035955|G097|MDO||0|
10036092|G097|MDO||1|
10036114|G097|MDO|TBO=Y|1|
10036326|G097|MDO||1|
10036356|G097|MDO||1|
10036357|G097|MDO||1|
10036359|G097|MDO||1|
10036492|G097|MDO||0|
10036500|G097|MDO||1|
10036508|G097|MDO||2|
10036552|G097|MDO||1|
10036553|G097|MDO||1|
10036554|G097|MDO|TBO=N|1|
10036555|G097|MDO|TBO=N|1|
10036558|G097|MDO||1|
10036559|G097|MDO||1|
10036561|G097|MDO||1|
10036562|G097|MDO|TBO=N|1|
10036563|G097|MDO|TBO=N|1|
10036566|G097|MDO||1|
10036567|G097|MDO||1|
10036569|G097|MDO||1|
10036570|G097|MDO||1|
10036571|G097|MDO|TBO=N|1|
10036579|G097|MDO||2|
10036611|G097|MDO||1|
10036613|G097|MDO||2|
10036617|G097|MDO||1|
10036619|G097|MDO||1|
10036621|G097|MDO|TBO=Y|1|
10036625|G097|MDO|TBO=Y|1|
10036631|G097|MDO|TBO=N|1|
10036640|G097|MDO|TBO=N|24|
10036644|G097|MDO||1|C
10036646|G097|MDO||2|
10036647|G097|MDO|TBO=N|12|
10036665|G097|MDO||4|
10036678|G097|MDO||1|
10036685|G097|MDO||1|
10036688|G097|MDO||1|
10036703|G097|MDO||2|
10036708|G097|MDO|TBO=N|2|
10036718|G097|MDO|TBO=N|1|
10036739|G097|MDO||1|
10036740|G097|MDO||1|
10036743|G097|MDO||1|
10036770|G097|MDO||1|
10036772|G097|MDO|TBO=N|1|
10036773|G097|MDO||1|
10036777|G097|MDO|TBO=N|1|
10036778|G097|MDO|TBO=N|1|
10036780|G097|MDO||1|
10036785|G097|MDO||1|
10036791|G097|MDO||1|
10036796|G097|MDO|TBO=Y|1|
10036806|G097|MDO||5|
10036815|G097|MDO||2|
10036817|G097|MDO||2|
10036819|G097|MDO||2|
10036821|G097|MDO||2|
10036827|G097|MDO||1|
10036828|G097|MDO||1|
10036829|G097|MDO|TBO=N|1|
10036839|G097|MDO||10|
10036840|G097|MDO||1|
10036841|G097|MDO|TBO=N|1|
10036842|G097|MDO||2|
10036848|G097|MDO||1|
10036853|G097|MDO||1|
10036854|G097|MDO||1|
10036860|G097|MDO|TBO=N|1|
10036861|G097|MDO||1|
10036864|G097|MDO||1|
10036875|G097|MDO|TBO=N|8|
10036876|G097|MDO||1|
10036878|G097|MDO|TBO=Y|1|
10036879|G097|MDO||1|
10036884|G097|MDO||2|
10036887|G097|MDO||2|
10036891|G097|MDO||1|
10036896|G097|MDO||1|
10036899|G097|MDO||1|
10036916|G097|MDO|TBO=N|2|
10036921|G097|MDO||1|
10036925|G097|MDO|TBO=Y|1|
10036931|G097|MDO||1|
10036934|G097|MDO||6|
10036935|G097|MDO|TBO=Y|2|
10036938|G097|MDO||1|
10036942|G097|MDO||1|
10036954|G097|MDO||1|
10036955|G097|MDO||1|
10036957|G097|MDO|TBO=N|16|
10036980|G097|MDO||1|
10036981|G097|MDO||3|
10036982|G097|MDO||2|
10036987|G097|MDO||10|
10036998|G097|MDO||2|
10037013|G097|MDO|TBO=N|2|
10037019|G097|MDO||1|
10037027|G097|MDO||1|
10037032|G097|MDO|TBO=Y|1|
10037062|G097|MDO||1|C
10037140|G097|MDO||1|
10037157|G097|MDO||1|
10037196|G097|MDO||1|
10037208|G097|MDO||2|
10037229|G097|MDO||1|
10037234|G097|MDO||1|
10037254|G097|MDO||1|
10037263|G097|MDO||2|
10037275|G097|MDO||1|
10037280|G097|MDO||1|
10037282|G097|MDO||1|
10037285|G097|MDO||1|C
10037288|G097|MDO||1|
10037333|G097|MDO||1|
10037355|G097|MDO||1|
10037358|G097|MDO||1|
10037376|G097|MDO||1|
10037392|G097|MDO|TBO=Y|1|
10037405|G097|MDO|TBO=N|12|
10037415|G097|MDO||1|
10037424|G097|MDO|TBO=Y|1|
10037437|G097|MDO||2|
10037621|G097|MDO||0|P
10037623|G097|MDO||1|C
10037632|G097|MDO||42|
10037636|G097|MDO||23|
10037640|G097|MDO||42|
10037643|G097|MDO||1|
10037663|G097|MDO||1|
10037667|G097|MDO||20|
10037671|G097|MDO||1|
10037681|G097|MDO||1|
10037684|G097|MDO||1|
10037691|G097|MDO||1|
10037725|G097|MDO||2|
10037727|G097|MDO||1|
10037729|G097|MDO||1|
10037756|G097|MDO||1|
10037787|G097|MDO||1|
10037788|G097|MDO||1|
10037807|G097|MDO||1|
10037809|G097|MDO||3|
10037982|G097|MDO||0|
10037987|G097|MDO||0|
10037990|G097|MDO||0|
10037991|G097|MDO|BAP=Y|1000|
10037992|G097|MDO||0|
10037993|G097|MDO||0|
10037994|G097|MDO|BAP=Y|1|
10037997|G097|MDO|BAP=Y|1000|
10037998|G097|MDO||0|
10037999|G097|MDO|BAP=Y|1|
10038000|G097|MDO||0|
10038002|G097|MDO||0|
10038005|G097|MDO||0|
10038006|G097|MDO||0|
10038010|G097|MDO||0|
10038011|G097|MDO|BAP=Y|1000|
10038012|G097|MDO||0|
10038013|G097|MDO|BAP=Y|1000|
10038014|G097|MDO|BAP=Y|1000|
10038015|G097|MDO|BAP=Y|1000|
10038016|G097|MDO||0|
10038017|G097|MDO||1|
10038020|G097|MDO|BAP=Y|1|
10038023|G097|MDO||0|
10038025|G097|MDO|BAP=Y|1|
10038027|G097|MDO||0|
10038029|G097|MDO||0|
10038030|G097|MDO||0|
10038031|G097|MDO||0|
10038032|G097|MDO||0|
10038033|G097|MDO||0|
10038034|G097|MDO||0|
10038036|G097|MDO||0|
10038038|G097|MDO|BAP=Y|1|
10038040|G097|MDO|BAP=Y|1|
10038041|G097|MDO||0|
10038043|G097|MDO|BAP=Y|1|
10038044|G097|MDO|BAP=Y,TBO=Y|1|
10038048|G097|MDO|BAP=Y|0|
10038053|G097|MDO|BAP=Y|1000|
10038054|G097|MDO|BAP=Y|1000|
10038056|G097|MDO|BAP=Y|1000|
10038057|G097|MDO|BAP=Y|1000|
10038064|G097|MDO|BAP=Y|1000|
10038065|G097|MDO|BAP=Y|0|
10038069|G097|MDO|BAP=Y|1000|
10038082|G097|MDO||0|
10038085|G097|MDO||0|
10038091|G097|MDO||1|
10038099|G097|MDO||2|
10038106|G097|MDO||1|
10038107|G097|MDO|TBO=Y|1|
10038111|G097|MDO||1|
10038116|G097|MDO||2|
10038117|G097|MDO|TBO=N|2|
10038125|G097|MDO|TBO=Y|2|
10038137|G097|MDO||1|
10038162|G097|MDO||0|
10038178|G097|MDO||0|
10038179|G097|MDO||0|
10038189|G097|MDO||0|
10038192|G097|MDO||0|
10038277|G097|MDO||2|
10038327|G097|MDO|BAP=Y|2|P
10038336|G097|MDO|BAP=Y|5|P
10038337|G097|MDO|BAP=Y|2|P
10038338|G097|MDO||0|P
10038352|G097|MDO||2|
10038356|G097|MDO||0|
10038382|G097|MDO||0|
10038388|G097|MDO||2|
10038390|G097|MDO||1|
10038449|G097|MDO||1|
10038450|G097|MDO||1|
10038628|G097|MDO||2|
10038663|G097|MDO||1|
10038686|G097|MDO||1|
10038692|G097|MDO||2|
10038697|G097|MDO||1|
10038704|G097|MDO||1|
10038706|G097|MDO||1|
10038814|G097|MDO||1|
10038823|G097|MDO|TBO=Y|1|
10038880|G097|MDO||10|
10038881|G097|MDO||24|
10038918|G097|MDO||1|
10038932|G097|MDO|TBO=N|12|
10038964|G097|MDO||1|
10038967|G097|MDO||1|
10038969|G097|MDO||1|
10039027|G097|MDO||1|
10039111|G097|MDO|TBO=N|1|
10039119|G097|MDO||1|
10039125|G097|MDO|TBO=Y|1|
10039174|G097|MDO|BAP=Y|1|
10039897|G097|MDO|TBO=N|30|
10039944|G097|MDO||1|
10039945|G097|MDO||1|
10039946|G097|MDO||1|
10040122|G097|MDO||2|
10040124|G097|MDO|TBO=Y|1|
10040150|G097|MDO||1|
10040154|G097|MDO||1|
10040157|G097|MDO||1|
10040185|G097|MDO||1|
10040186|G097|MDO||1|
10040188|G097|MDO||2|
10040192|G097|MDO||1|
10040193|G097|MDO||1|
10040202|G097|MDO||1|
10040206|G097|MDO||2|
10040350|G097|MDO||1|
10040429|G097|MDO|TBO=Y|1|
10040447|G097|MDO||1|
10040493|G097|MDO|TBO=Y|0|
20000065|G097|MDO||1|
20000071|G097|MDO|TBO=N|6|
20000215|G097|MDO||2|
20000232|G097|MDO|TBO=N|1|
20000234|G097|MDO|TBO=N|1|
20000300|G097|MDO|TBO=N|1|
20000411|G097|MDO|TBO=Y|1|
20000412|G097|MDO||1|
20000458|G097|MDO|TBO=N|1|
20000459|G097|MDO|TBO=N|1|
20000513|G097|MDO||10|C
20000515|G097|MDO||1|
20000516|G097|MDO||1|
20000589|G097|MDO||1|C
20000765|G097|MDO||1|
20000776|G097|MDO||0|
20000777|G097|MDO||1|
