PLU_JUAL|PLU_BHN_BAKU|PLU_ADDITIONAL|PLU_PENGGANTI|KET_SPECIAL_REQUEST|VALUE|SATUAN|MAX_PLU_JUAL|MAX_ADD|KELOMPOK_SPCL_REQ
20099875|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20068998|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20068988|0|20069004|0|Coffee Jelly (+)|1|PCS|4|4|Topping
20103774|0|20069001|0|Vanilla Syrup (+)|1|PCS|4|4|Syrup
20111898|0|20069004|0|Coffee Jelly (+)|1|PCS|4|4|Topping
20069008|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20119613|0|20069001|0|Vanilla Syrup (+)|1|PCS|4|4|Syrup
20099876|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20069010|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20068989|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20072105|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20071969|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20074245|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20079739|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20090166|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20075779|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20068990|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20069011|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20085281|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20085282|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20085284|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20085283|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20069012|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20068992|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20099879|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20099880|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20099881|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20099882|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20099885|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20068988|0|20109819|0|Upsize (+)|1|PCS|4|1|Upsize
20099883|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20099884|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20069012|0|20109847|0|Upsize (+)|1|PCS|4|1|Upsize
20074245|0|20109856|0|Upsize (+)|1|PCS|4|1|Upsize
20093434|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20069014|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20068993|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20074247|0|20069004|0|Coffee Jelly (+)|1|PCS|4|4|Topping
20068995|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20074247|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20111898|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20085981|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20096791|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20095412|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20095413|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20101438|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20101437|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20070436|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20068999|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20093433|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20093432|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20112871|0|20069001|0|Vanilla Syrup (+)|1|PCS|4|4|Syrup
20112871|0|20069002|0|Caramel Syrup (+)|1|PCS|4|4|Syrup
20113168|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20113169|0|20069003|0|Hazelnut Syrup (+)|1|PCS|4|4|Syrup
20113169|0|20069002|0|Caramel Syrup (+)|1|PCS|4|4|Syrup
20068993|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20116852|0|20099888|0|Chocolate Sauce (+)|1|PCS|4|4|Sauce
20119613|0|20099887|0|Caramel Sauce (+)|1|PCS|4|4|Sauce
20119614|0|20069003|0||1|PCS|4|4|Syrup
20119614|0|20099887|0|Caramel Sauce (+)|1|PCS|4|4|Sauce
20119614|0|20069004|0|Coffee Jelly (+)|1|PCS|4|4|Topping
20119614|0|20104086|0|Nangka Jelly (+)|1|PCS|4|4|Topping
20119617|0|20098726|0|Tropical Jelly (+)|1|PCS|4|4|Topping
20119617|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20119617|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20119618|0|20069001|0|Vanilla Syrup (+)|1|PCS|4|4|Syrup
20119618|0|20069003|0|Hazelnut Syrup (+)|1|PCS|4|4|Syrup
20119618|0|20099888|0|Chocolate Sauce (+)|1|PCS|4|4|Sauce
20119618|0|20099887|0|Caramel Sauce (+)|1|PCS|4|4|Sauce
20119618|0|20069004|0|Coffee Jelly (+)|1|PCS|4|4|Topping
20114167|0|20069003|0|Hazelnut Syrup (+)|1|PCS|4|4|Syrup
20085283|0|20104086|0|Nangka Jelly (+)|1|PCS|4|4|Topping
20114167|0|20069002|0|Caramel Syrup (+)|1|PCS|4|4|Syrup
20114167|0|20099888|0|Chocolate Sauce (+)|1|PCS|4|4|Sauce
20114167|0|20099887|0|Caramel Sauce (+)|1|PCS|4|4|Sauce
20089518|0|20069003|0|Hazelnut Syrup (+)|1|PCS|4|4|Syrup
20114167|0|20096809|0|Brown Sugar Konyaku (+)|1|PCS|4|4|Topping
20114167|0|20098726|0|Tropical Jelly (+)|1|PCS|4|4|Topping
20089518|0|20069004|0|Coffee Jelly (+)|1|PCS|4|4|Topping
20114167|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20114167|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20114167|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20089518|0|20098726|0|Tropical Jelly (+)|1|PCS|4|4|Topping
20122041|0|20096809|0|Brown Sugar Konyaku (+)|1|PCS|4|4|Topping
20069008|0|20104086|0|Nangka Jelly (+)|1|PCS|4|4|Topping
20069013|0|20104086|0|Nangka Jelly (+)|1|PCS|4|4|Topping
20099876|0|20104086|0|Nangka Jelly (+)|1|PCS|4|4|Topping
20099886|0|20104086|0|Nangka Jelly (+)|1|PCS|4|4|Topping
20123045|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20123045|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20115138|0|20113628|0|Add Sauce Rte|1|PCS|4|4|Extra
20115138|0|20117227|0|Add Sauce Rte|1|PCS|4|4|Extra
20115138|0|20115038|0|Add Sauce Rte|1|PCS|4|4|Extra
20123049|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20115138|0|20120504|0|Add Sauce Rte|1|PCS|4|4|Extra
20115138|0|20117226|0|Add Sauce Rte|1|PCS|4|4|Extra
20120501|0|20113632|0|Add Sauce Rte|1|PCS|4|4|Extra
20120501|0|20115038|0|Add Sauce Rte|1|PCS|4|4|Extra
20099873|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20068986|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20069009|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20068988|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20099876|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20069010|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20068989|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20072105|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20071969|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20074245|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20085284|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20085283|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20069012|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20068992|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20099879|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20099880|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20099881|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20099882|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20099883|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20099884|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20069013|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20068991|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20113310|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20103278|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20115979|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20119614|0|20123055|0|Upsize (+)|1|PCS|4|1|Upsize
20123045|0|20123052|0|Upsize (+)|1|PCS|4|1|Upsize
20123047|0|20123054|0|Upsize (+)|1|PCS|4|1|Upsize
20119613|0|20123056|0|Upsize (+)|1|PCS|4|1|Upsize
20119616|0|20123057|0|Upsize (+)|1|PCS|4|1|Upsize
20069009|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20068986|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20071969|0|20109817|0|Upsize (+)|1|PCS|4|1|Upsize
20069007|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20069009|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20068988|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20069008|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20068987|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20099876|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20069010|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20069009|0|20069002|0|Caramel Syrup (+)|1|PCS|4|4|Syrup
20093432|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20069009|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20069009|0|20069004|0|Coffee Jelly (+)|1|PCS|4|4|Topping
20099874|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20090166|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20111898|0|20069001|0|Vanilla Syrup (+)|1|PCS|4|4|Syrup
20111898|0|20099888|0|Chocolate Sauce (+)|1|PCS|4|4|Sauce
20111898|0|20099887|0|Caramel Sauce (+)|1|PCS|4|4|Sauce
20111898|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20106106|0|20069001|0|Vanilla Syrup (+)|1|PCS|4|4|Syrup
20112871|0|20098726|0|Tropical Jelly (+)|1|PCS|4|4|Topping
20113168|0|20099887|0|Caramel Sauce (+)|1|PCS|4|4|Sauce
20113169|0|20099887|0|Caramel Sauce (+)|1|PCS|4|4|Sauce
20113169|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20068994|0|20109399|0|Ice Cube(+)|1|PCS|2|1|Extra
20082648|0|20109399|0|Ice Cube(+)|1|PCS|2|1|Extra
20082649|0|20109399|0|Ice Cube(+)|1|PCS|2|1|Extra
20085197|0|20109399|0|Ice Cube(+)|1|PCS|2|1|Extra
20094647|0|20109399|0|Ice Cube(+)|1|PCS|2|1|Extra
20094648|0|20109399|0|Ice Cube(+)|1|PCS|2|1|Extra
20069009|0|20099888|0|Chocolate Sauce (+)|1|PCS|4|4|Sauce
20094649|0|20109399|0|Ice Cube(+)|1|PCS|2|1|Extra
20094650|0|20109399|0|Ice Cube(+)|1|PCS|2|1|Extra
20069006|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20099873|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20099874|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20099875|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20096329|0|20096809|0|Brown Sugar Konyaku (+)|1|PCS|4|4|Topping
20096329|0|20098726|0|Tropical Jelly (+)|1|PCS|4|4|Topping
20096329|0|20104086|0|Nangka Jelly (+)|1|PCS|4|4|Topping
20116850|0|20069001|0|Vanilla Syrup (+)|1|PCS|4|4|Syrup
20069008|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20115979|0|20069001|0|Vanilla Syrup (+)|1|PCS|4|4|Syrup
20099876|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20069010|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20068989|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20072105|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20071969|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20074245|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20079739|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20090166|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20075779|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20068990|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20069011|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20085281|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20085282|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20085284|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20085283|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20069012|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20068992|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20099879|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20099880|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20099881|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20099882|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20099885|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20116850|0|20069003|0|Hazelnut Syrup (+)|1|PCS|4|4|Syrup
20099883|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20099884|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20116850|0|20099887|0|Caramel Sauce (+)|1|PCS|4|4|Sauce
20119615|0|20098726|0|Tropical Jelly (+)|1|PCS|4|4|Topping
20093434|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20069014|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20068993|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20119615|0|20104086|0|Nangka Jelly (+)|1|PCS|4|4|Topping
20068995|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20119617|0|20069003|0|Hazelnut Syrup (+)|1|PCS|4|4|Syrup
20119617|0|20069002|0|Caramel Syrup (+)|1|PCS|4|4|Syrup
20085981|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20096791|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20095412|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20095413|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20101438|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20101437|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20070436|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20068999|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20093433|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20093432|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20119617|0|20099888|0|Chocolate Sauce (+)|1|PCS|4|4|Sauce
20119618|0|20098726|0|Tropical Jelly (+)|1|PCS|4|4|Topping
20113309|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20113309|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20113310|0|20099887|0|Caramel Sauce (+)|1|PCS|4|4|Sauce
20113310|0|20069004|0|Coffee Jelly (+)|1|PCS|4|4|Topping
20113310|0|20096809|0|Brown Sugar Konyaku (+)|1|PCS|4|4|Topping
20119618|0|20104086|0|Nangka Jelly (+)|1|PCS|4|4|Topping
20113309|0|20113311|0|Upsize (+)|1|PCS|4|1|Upsize
20089518|0|20069001|0|Vanilla Syrup (+)|1|PCS|4|4|Syrup
20089518|0|20099887|0|Caramel Sauce (+)|1|PCS|4|4|Sauce
20089518|0|20096809|0|Brown Sugar Konyaku (+)|1|PCS|4|4|Topping
20089518|0|20104086|0|Nangka Jelly (+)|1|PCS|4|4|Topping
20122041|0|20069001|0|Vanilla Syrup (+)|1|PCS|4|4|Syrup
20122041|0|20069003|0|Hazelnut Syrup (+)|1|PCS|4|4|Syrup
20122041|0|20069002|0|Caramel Syrup (+)|1|PCS|4|4|Syrup
20122041|0|20099888|0|Chocolate Sauce (+)|1|PCS|4|4|Sauce
20122041|0|20099887|0|Caramel Sauce (+)|1|PCS|4|4|Sauce
20122041|0|20069004|0|Coffee Jelly (+)|1|PCS|4|4|Topping
20071969|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20072105|0|20104086|0|Nangka Jelly (+)|1|PCS|4|4|Topping
20069006|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20099885|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20113363|0|20120505|0|Add Sauce Rte|1|PCS|4|4|Extra
20115138|0|20113632|0|Add Sauce Rte|1|PCS|4|4|Extra
20115138|0|20113630|0|Add Sauce Rte|1|PCS|4|4|Extra
20115138|0|20115039|0|Add Sauce Rte|1|PCS|4|4|Extra
20115138|0|20120505|0|Add Sauce Rte|1|PCS|4|4|Extra
20115138|0|20117225|0|Add Sauce Rte|1|PCS|4|4|Extra
20123047|0|20069001|0|Vanilla Syrup (+)|1|PCS|4|4|Syrup
20093434|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20068997|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20068998|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20096791|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20103280|0|20069002|0|Caramel Syrup (+)|1|PCS|4|4|Syrup
20085263|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20085263|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20074247|0|20099887|0|Caramel Sauce (+)|1|PCS|4|4|Sauce
20068998|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20068998|0|20069003|0|Hazelnut Syrup (+)|1|PCS|4|4|Syrup
20068998|0|20096809|0|Brown Sugar Konyaku (+)|1|PCS|4|4|Topping
20068998|0|20069001|0|Vanilla Syrup (+)|1|PCS|4|4|Syrup
20103280|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20103280|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20103280|0|20069003|0|Hazelnut Syrup (+)|1|PCS|4|4|Syrup
20103280|0|20096809|0|Brown Sugar Konyaku (+)|1|PCS|4|4|Topping
20103280|0|20069001|0|Vanilla Syrup (+)|1|PCS|4|4|Syrup
20103280|0|20069004|0|Coffee Jelly (+)|1|PCS|4|4|Topping
20103280|0|20099887|0|Caramel Sauce (+)|1|PCS|4|4|Sauce
20103280|0|20099888|0|Chocolate Sauce (+)|1|PCS|4|4|Sauce
20103280|0|20098726|0|Tropical Jelly (+)|1|PCS|4|4|Topping
20103703|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20085263|0|20069002|0|Caramel Syrup (+)|1|PCS|4|4|Syrup
20085263|0|20069003|0|Hazelnut Syrup (+)|1|PCS|4|4|Syrup
20085263|0|20099887|0|Caramel Sauce (+)|1|PCS|4|4|Sauce
20085263|0|20098726|0|Tropical Jelly (+)|1|PCS|4|4|Topping
20069008|0|20109825|0|Upsize (+)|1|PCS|4|1|Upsize
20085283|0|20109813|0|Upsize (+)|1|PCS|4|1|Upsize
20099886|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20112871|0|20069004|0|Coffee Jelly (+)|1|PCS|4|4|Topping
20112871|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20112871|0|20099888|0|Chocolate Sauce (+)|1|PCS|4|4|Sauce
20115979|0|20098726|0|Tropical Jelly (+)|1|PCS|4|4|Topping
20113168|0|20096809|0|Brown Sugar Konyaku (+)|1|PCS|4|4|Topping
20113169|0|20096809|0|Brown Sugar Konyaku (+)|1|PCS|4|4|Topping
20103278|0|20104086|0|Nangka Jelly (+)|1|PCS|4|4|Topping
20096329|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20115961|0|20096809|0|Brown Sugar Konyaku (+)|1|PCS|4|4|Topping
20115961|0|20104086|0|Nangka Jelly (+)|1|PCS|4|4|Topping
20113310|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20114167|0|20069001|0|Vanilla Syrup (+)|1|PCS|4|4|Syrup
20112871|0|20104086|0|Nangka Jelly (+)|1|PCS|4|4|Topping
20115961|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20115961|0|20101436|0|Tropicana Sgr|1|PCS|4|4|Others
20115979|0|20109399|0|Ice Cube(+)|1|PCS|4|4|Extra
20116852|0|20104086|0|Nangka Jelly (+)|1|PCS|4|4|Topping
20119615|0|20069004|0|Coffee Jelly (+)|1|PCS|4|4|Topping
20119615|0|20096809|0|Brown Sugar Konyaku (+)|1|PCS|4|4|Topping
20119615|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20119617|0|20069001|0|Vanilla Syrup (+)|1|PCS|4|4|Syrup
20119617|0|20099887|0|Caramel Sauce (+)|1|PCS|4|4|Sauce
20082342|0|20098726|0|Tropical Jelly (+)|1|PCS|4|4|Topping
20082342|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20123047|0|20099887|0|Caramel Sauce (+)|1|PCS|4|4|Sauce
20115138|0|20120503|0|Add Sauce Rte|1|PCS|4|4|Extra
20120501|0|20115039|0|Add Sauce Rte|1|PCS|4|4|Extra
20123047|0|20069004|0|Coffee Jelly (+)|1|PCS|4|4|Topping
20120502|0|20120503|0|Add Sauce Rte|1|PCS|4|4|Extra
20120502|0|20117226|0|Add Sauce Rte|1|PCS|4|4|Extra
20123047|0|20099888|0|Chocolate Sauce (+)|1|PCS|4|4|Sauce
20123047|0|20096809|0|Brown Sugar Konyaku (+)|1|PCS|4|4|Topping
20123047|0|20098726|0|Tropical Jelly (+)|1|PCS|4|4|Topping
20123047|0|20104086|0|Nangka Jelly (+)|1|PCS|4|4|Topping
20123047|0|20069005|0|Espresso shot|1|PCS|4|4|Extra
20123047|0|20089832|0|Whip. Cream (+)|1|PCS|4|4|Extra
20123048|0|20069001|0|Vanilla Syrup (+)|1|PCS|4|4|Syrup
20123048|0|20069003|0|Hazelnut Syrup (+)|1|PCS|4|4|Syrup
20123048|0|20069002|0|Caramel Syrup (+)|1|PCS|4|4|Syrup
20123048|0|20099887|0|Caramel Sauce (+)|1|PCS|4|4|Sauce
20123064|0|20109399|0|Ice Cube(+)|1|PCS|4|4|Extra
20123065|0|20109399|0|Ice Cube(+)|1|PCS|4|4|Extra
20119618|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20113169|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20096329|0|20123084|0|Add Cream Cheese (+)|1|PCS|4|4|Topping
20124302|0|20069001|0|Vanilla Syrup (+)|1|PCS|4|4|Syrup
20123048|0|20123058|0|Upsize (+)|1|PCS|4|1|Upsize
20119615|0|20123059|0|Upsize (+)|1|PCS|4|1|Upsize
20119617|0|20123060|0|Upsize (+)|1|PCS|4|1|Upsize
20119618|0|20123061|0|Upsize (+)|1|PCS|4|1|Upsize
20123049|0|20123062|0|Upsize (+)|1|PCS|4|1|Upsize
20124302|0|20069003|0|Hazelnut Syrup (+)|1|PCS|4|4|Syrup
20124302|0|20069002|0|Caramel Syrup (+)|1|PCS|4|4|Syrup
20124302|0|20099888|0|Chocolate Sauce (+)|1|PCS|4|4|Sauce
20124302|0|20069004|0|Coffee Jelly (+)|1|PCS|4|4|Topping
20124302|0|20096809|0|Brown Sugar Konyaku (+)|1|PCS|4|4|Topping
20124302|0|20104086|0|Nangka Jelly (+)|1|PCS|4|4|Topping
