TAT_ID|KD_TOKO_PENGIRIM|KD_TOKO_PENERIMA
5857/TAT/HO/09/2022|*|*
5858/TAT/HO/09/2022|*|*
5960/TAT/HO/09/2022|*|*
5859/TAT/HO/09/2022|*|*
5949/TAT/HO/09/2022|*|*
5923/TAT/HO/09/2022|*|*
5860/TAT/HO/09/2022|*|*
5980/TAT/HO/09/2022|*|*
5889/TAT/HO/09/2022|*|*
5987/TAT/HO/09/2022|*|*
5843/TAT/HO/08/2022|*|*
5869/TAT/HO/09/2022|*|*
5867/TAT/HO/09/2022|*|*
5868/TAT/HO/09/2022|*|*
5870/TAT/HO/09/2022|*|*
5815/TAT/HO/08/2022|*|*
5980/TAT/HO/09/2022|TCZ1|TB52
5980/TAT/HO/09/2022|R025|T8IC
5980/TAT/HO/09/2022|TC57|TTUU
5980/TAT/HO/09/2022|T61B|TOW0
5980/TAT/HO/09/2022|T97D|T0MY
5980/TAT/HO/09/2022|T13Q|TK1R
5889/TAT/HO/09/2022|TKLG|TFSV
5889/TAT/HO/09/2022|TKLG|TOW0
5889/TAT/HO/09/2022|TKLG|THHN
5889/TAT/HO/09/2022|TKLG|TT2K
5889/TAT/HO/09/2022|TKLG|TK2R
5889/TAT/HO/09/2022|TKLG|TML2
5889/TAT/HO/09/2022|TKLG|T2DO
5889/TAT/HO/09/2022|TKLG|TJM6
5889/TAT/HO/09/2022|TKLG|TVVL
5889/TAT/HO/09/2022|TKLG|TTXG
5889/TAT/HO/09/2022|TKLG|T7XU
5889/TAT/HO/09/2022|TKLG|T305
5843/TAT/HO/08/2022|TKLG|TML2
5889/TAT/HO/09/2022|TKLG|TK1R
5843/TAT/HO/08/2022|TKLG|TMBT
5843/TAT/HO/08/2022|TKLG|TK2R
5843/TAT/HO/08/2022|TKLG|TT2K
5843/TAT/HO/08/2022|TKLG|THHN
5843/TAT/HO/08/2022|TKLG|TK1R
5843/TAT/HO/08/2022|TKLG|TFSV
5843/TAT/HO/08/2022|TKLG|TOW0
5843/TAT/HO/08/2022|TKLG|TJM6
5843/TAT/HO/08/2022|TKLG|TVVL
5843/TAT/HO/08/2022|TKLG|T7XU
5889/TAT/HO/09/2022|TKLG|T2RO
5889/TAT/HO/09/2022|TKLG|TC28
5889/TAT/HO/09/2022|TKLG|T011
5843/TAT/HO/08/2022|TKLG|T011
5843/TAT/HO/08/2022|TKLG|TC28
5843/TAT/HO/08/2022|TKLG|T2RO
5843/TAT/HO/08/2022|TKLG|T305
5980/TAT/HO/09/2022|T31W|T0MY
5980/TAT/HO/09/2022|TCMJ|TA2S
5980/TAT/HO/09/2022|T71P|TDOB
5980/TAT/HO/09/2022|TCFG|TYCB
5980/TAT/HO/09/2022|T9LS|T0MY
5987/TAT/HO/09/2022|TLRF|T4S6
5980/TAT/HO/09/2022|T8ZQ|T0MY
5869/TAT/HO/09/2022|TI4C|F010
5869/TAT/HO/09/2022|TI4C|FKP0
5869/TAT/HO/09/2022|TI4C|F5GE
5869/TAT/HO/09/2022|TI4C|TSUI
5869/TAT/HO/09/2022|TI4C|T1Z1
5869/TAT/HO/09/2022|TI4C|FQ64
5869/TAT/HO/09/2022|TI4C|TCZ1
5869/TAT/HO/09/2022|TI4C|F152
5869/TAT/HO/09/2022|TI4C|TC25
5869/TAT/HO/09/2022|TI4C|T3CQ
5869/TAT/HO/09/2022|TI4C|F193
5869/TAT/HO/09/2022|TI4C|TC42
5869/TAT/HO/09/2022|TI4C|FQEG
5869/TAT/HO/09/2022|TI4C|TC53
5869/TAT/HO/09/2022|TI4C|F237
5869/TAT/HO/09/2022|TI4C|TC56
5869/TAT/HO/09/2022|TI4C|F251
5869/TAT/HO/09/2022|TI4C|F265
5869/TAT/HO/09/2022|TI4C|TC85
5869/TAT/HO/09/2022|TI4C|TNIS
5869/TAT/HO/09/2022|TI4C|F295
5869/TAT/HO/09/2022|TI4C|FB6M
5869/TAT/HO/09/2022|TI4C|F399
5869/TAT/HO/09/2022|TI4C|TBN0
5869/TAT/HO/09/2022|TI4C|F541
5869/TAT/HO/09/2022|TI4C|F556
5869/TAT/HO/09/2022|TI4C|F561
5869/TAT/HO/09/2022|TI4C|F572
5869/TAT/HO/09/2022|TI4C|FORD
5869/TAT/HO/09/2022|TI4C|TGBI
5869/TAT/HO/09/2022|TI4C|R025
5869/TAT/HO/09/2022|TI4C|R029
5869/TAT/HO/09/2022|TI4C|R032
5869/TAT/HO/09/2022|TI4C|R035
5869/TAT/HO/09/2022|TI4C|R042
5869/TAT/HO/09/2022|TI4C|R051
5869/TAT/HO/09/2022|TI4C|TNTG
5869/TAT/HO/09/2022|TI4C|T001
5869/TAT/HO/09/2022|TI4C|T003
5869/TAT/HO/09/2022|TI4C|T011
5869/TAT/HO/09/2022|TI4C|TCML
5869/TAT/HO/09/2022|TI4C|T023
5869/TAT/HO/09/2022|TI4C|T037
5869/TAT/HO/09/2022|TI4C|T046
5869/TAT/HO/09/2022|TI4C|T1KU
5869/TAT/HO/09/2022|TI4C|T116
5869/TAT/HO/09/2022|TI4C|T129
5869/TAT/HO/09/2022|TI4C|T190
5869/TAT/HO/09/2022|TI4C|T211
5869/TAT/HO/09/2022|TI4C|T220
5869/TAT/HO/09/2022|TI4C|T226
5869/TAT/HO/09/2022|TI4C|T242
5869/TAT/HO/09/2022|TI4C|T278
5869/TAT/HO/09/2022|TI4C|T511
5869/TAT/HO/09/2022|TI4C|T4IA
5869/TAT/HO/09/2022|TI4C|F31U
5869/TAT/HO/09/2022|TI4C|T768
5869/TAT/HO/09/2022|TI4C|TGLS
5869/TAT/HO/09/2022|TI4C|T956
5869/TAT/HO/09/2022|TI4C|T959
5869/TAT/HO/09/2022|TI4C|T9SG
5869/TAT/HO/09/2022|TI4C|T971
5869/TAT/HO/09/2022|TI4C|T981
5869/TAT/HO/09/2022|TI4C|T985
5869/TAT/HO/09/2022|TI4C|TFQB
5869/TAT/HO/09/2022|TI4C|TAAL
5869/TAT/HO/09/2022|TI4C|FL28
5869/TAT/HO/09/2022|TI4C|TJ01
5869/TAT/HO/09/2022|TI4C|TP01
5869/TAT/HO/09/2022|TI4C|TALA
5869/TAT/HO/09/2022|TI4C|TB98
5869/TAT/HO/09/2022|TI4C|F715
5869/TAT/HO/09/2022|TI4C|F724
5869/TAT/HO/09/2022|TI4C|F233
5869/TAT/HO/09/2022|TI4C|TUGZ
5869/TAT/HO/09/2022|TI4C|F763
5869/TAT/HO/09/2022|TI4C|TV6J
5869/TAT/HO/09/2022|TI4C|F799
5869/TAT/HO/09/2022|TI4C|F800
5869/TAT/HO/09/2022|TI4C|TLDB
5869/TAT/HO/09/2022|TI4C|T8MS
5869/TAT/HO/09/2022|TI4C|TR80
5869/TAT/HO/09/2022|TI4C|TC07
5869/TAT/HO/09/2022|TI4C|TC08
5869/TAT/HO/09/2022|TI4C|F37L
5869/TAT/HO/09/2022|TI4C|TAV9
5869/TAT/HO/09/2022|TI4C|TC11
5869/TAT/HO/09/2022|TI4C|TC17
5869/TAT/HO/09/2022|TI4C|TC26
5869/TAT/HO/09/2022|TI4C|TC28
5869/TAT/HO/09/2022|TI4C|TC32
5869/TAT/HO/09/2022|TI4C|TORT
5869/TAT/HO/09/2022|TI4C|TTNG
5869/TAT/HO/09/2022|TI4C|TQ1C
5869/TAT/HO/09/2022|TI4C|TC35
5869/TAT/HO/09/2022|TI4C|TC36
5869/TAT/HO/09/2022|TI4C|TC39
5869/TAT/HO/09/2022|TI4C|FL12
5869/TAT/HO/09/2022|TI4C|TC50
5869/TAT/HO/09/2022|TI4C|TC57
5869/TAT/HO/09/2022|TI4C|TC59
5869/TAT/HO/09/2022|TI4C|TC60
5869/TAT/HO/09/2022|TI4C|TC63
5869/TAT/HO/09/2022|TI4C|TC71
5869/TAT/HO/09/2022|TI4C|TC73
5869/TAT/HO/09/2022|TI4C|F87L
5869/TAT/HO/09/2022|TI4C|TC77
5869/TAT/HO/09/2022|TI4C|F75L
5869/TAT/HO/09/2022|TI4C|F18U
5869/TAT/HO/09/2022|TI4C|TC87
5869/TAT/HO/09/2022|TI4C|TC94
5869/TAT/HO/09/2022|TI4C|R087
5869/TAT/HO/09/2022|TI4C|TC97
5869/TAT/HO/09/2022|TI4C|F77A
5869/TAT/HO/09/2022|TI4C|F87A
5869/TAT/HO/09/2022|TI4C|TU0U
5869/TAT/HO/09/2022|TI4C|T0C4
5869/TAT/HO/09/2022|TI4C|T06C
5869/TAT/HO/09/2022|TI4C|T11C
5869/TAT/HO/09/2022|TI4C|T98C
5869/TAT/HO/09/2022|TI4C|TPT2
5869/TAT/HO/09/2022|TI4C|TPA9
5869/TAT/HO/09/2022|TI4C|FE26
5869/TAT/HO/09/2022|TI4C|FE27
5869/TAT/HO/09/2022|TI4C|TK02
5869/TAT/HO/09/2022|TI4C|TK04
5869/TAT/HO/09/2022|TI4C|TK05
5869/TAT/HO/09/2022|TI4C|T02K
5869/TAT/HO/09/2022|TI4C|TK00
5869/TAT/HO/09/2022|TI4C|TA3P
5869/TAT/HO/09/2022|TI4C|TFVH
5869/TAT/HO/09/2022|TI4C|T15K
5869/TAT/HO/09/2022|TI4C|T17K
5869/TAT/HO/09/2022|TI4C|T18K
5869/TAT/HO/09/2022|TI4C|T26K
5869/TAT/HO/09/2022|TI4C|T27K
5869/TAT/HO/09/2022|TI4C|T28K
5869/TAT/HO/09/2022|TI4C|T37K
5869/TAT/HO/09/2022|TI4C|T38K
5869/TAT/HO/09/2022|TI4C|TE5C
5869/TAT/HO/09/2022|TI4C|R104
5869/TAT/HO/09/2022|TI4C|TE9C
5869/TAT/HO/09/2022|TI4C|TWDS
5869/TAT/HO/09/2022|TI4C|T54K
5869/TAT/HO/09/2022|TI4C|THC0
5869/TAT/HO/09/2022|TI4C|FT56
5869/TAT/HO/09/2022|TI4C|THC1
5869/TAT/HO/09/2022|TI4C|THC2
5869/TAT/HO/09/2022|TI4C|T67K
5869/TAT/HO/09/2022|TI4C|TB07
5869/TAT/HO/09/2022|TI4C|FT18
5869/TAT/HO/09/2022|TI4C|TB28
5869/TAT/HO/09/2022|TI4C|TB29
5869/TAT/HO/09/2022|TI4C|TB49
5869/TAT/HO/09/2022|TI4C|TTSL
5869/TAT/HO/09/2022|TI4C|TB52
5869/TAT/HO/09/2022|TI4C|TB55
5869/TAT/HO/09/2022|TI4C|TB69
5869/TAT/HO/09/2022|TI4C|TB70
5869/TAT/HO/09/2022|TI4C|TB71
5869/TAT/HO/09/2022|TI4C|TQ03
5869/TAT/HO/09/2022|TI4C|TSCT
5869/TAT/HO/09/2022|TI4C|T01B
5869/TAT/HO/09/2022|TI4C|T02B
5869/TAT/HO/09/2022|TI4C|TG26
5869/TAT/HO/09/2022|TI4C|T06B
5869/TAT/HO/09/2022|TI4C|T08B
5869/TAT/HO/09/2022|TI4C|T09B
5869/TAT/HO/09/2022|TI4C|FV73
5869/TAT/HO/09/2022|TI4C|TXK1
5869/TAT/HO/09/2022|TI4C|T13B
5869/TAT/HO/09/2022|TI4C|T15B
5869/TAT/HO/09/2022|TI4C|T16B
5869/TAT/HO/09/2022|TI4C|T18B
5869/TAT/HO/09/2022|TI4C|T19B
5869/TAT/HO/09/2022|TI4C|T21B
5869/TAT/HO/09/2022|TI4C|T24B
5869/TAT/HO/09/2022|TI4C|T51G
5869/TAT/HO/09/2022|TI4C|T53G
5869/TAT/HO/09/2022|TI4C|T53B
5869/TAT/HO/09/2022|TI4C|T58B
5869/TAT/HO/09/2022|TI4C|T59B
5869/TAT/HO/09/2022|TI4C|T60B
5869/TAT/HO/09/2022|TI4C|T61B
5869/TAT/HO/09/2022|TI4C|FD43
5869/TAT/HO/09/2022|TI4C|T84B
5869/TAT/HO/09/2022|TI4C|T94B
5869/TAT/HO/09/2022|TI4C|T04D
5869/TAT/HO/09/2022|TI4C|T09D
5869/TAT/HO/09/2022|TI4C|T10D
5869/TAT/HO/09/2022|TI4C|FD81
5869/TAT/HO/09/2022|TI4C|TRQ7
5869/TAT/HO/09/2022|TI4C|TRQ8
5869/TAT/HO/09/2022|TI4C|T29D
5869/TAT/HO/09/2022|TI4C|T30D
5869/TAT/HO/09/2022|TI4C|TRV0
5869/TAT/HO/09/2022|TI4C|T52D
5869/TAT/HO/09/2022|TI4C|T69D
5869/TAT/HO/09/2022|TI4C|T77D
5869/TAT/HO/09/2022|TI4C|T78D
5869/TAT/HO/09/2022|TI4C|T79D
5869/TAT/HO/09/2022|TI4C|T84D
5869/TAT/HO/09/2022|TI4C|T96D
5869/TAT/HO/09/2022|TI4C|T97D
5869/TAT/HO/09/2022|TI4C|T12Q
5869/TAT/HO/09/2022|TI4C|T13Q
5869/TAT/HO/09/2022|TI4C|T15Q
5869/TAT/HO/09/2022|TI4C|T21Q
5869/TAT/HO/09/2022|TI4C|T51Q
5869/TAT/HO/09/2022|TI4C|T85Q
5869/TAT/HO/09/2022|TI4C|T92Q
5869/TAT/HO/09/2022|TI4C|T93Q
5869/TAT/HO/09/2022|TI4C|T94Q
5869/TAT/HO/09/2022|TI4C|T99K
5869/TAT/HO/09/2022|TI4C|FQ82
5869/TAT/HO/09/2022|TI4C|FQ84
5869/TAT/HO/09/2022|TI4C|TK29
5869/TAT/HO/09/2022|TI4C|FD4Z
5869/TAT/HO/09/2022|TI4C|TL79
5869/TAT/HO/09/2022|TI4C|TR36
5869/TAT/HO/09/2022|TI4C|TR50
5869/TAT/HO/09/2022|TI4C|TR59
5869/TAT/HO/09/2022|TI4C|TR96
5869/TAT/HO/09/2022|TI4C|TS86
5869/TAT/HO/09/2022|TI4C|F6WD
5869/TAT/HO/09/2022|TI4C|TS90
5869/TAT/HO/09/2022|TI4C|TS96
5869/TAT/HO/09/2022|TI4C|T48T
5869/TAT/HO/09/2022|TI4C|T51T
5869/TAT/HO/09/2022|TI4C|T52T
5869/TAT/HO/09/2022|TI4C|T63T
5869/TAT/HO/09/2022|TI4C|T77T
5869/TAT/HO/09/2022|TI4C|T83T
5869/TAT/HO/09/2022|TI4C|F96Q
5869/TAT/HO/09/2022|TI4C|TWM3
5869/TAT/HO/09/2022|TI4C|TT90
5869/TAT/HO/09/2022|TI4C|T36G
5869/TAT/HO/09/2022|TI4C|T00O
5869/TAT/HO/09/2022|TI4C|TE2F
5869/TAT/HO/09/2022|TI4C|FA44
5869/TAT/HO/09/2022|TI4C|T2RO
5869/TAT/HO/09/2022|TI4C|TT1U
5869/TAT/HO/09/2022|TI4C|TJ7X
5869/TAT/HO/09/2022|TI4C|TL3I
5869/TAT/HO/09/2022|TI4C|TYRO
5869/TAT/HO/09/2022|TI4C|TTZP
5869/TAT/HO/09/2022|TI4C|TASC
5869/TAT/HO/09/2022|TI4C|TX9Z
5869/TAT/HO/09/2022|TI4C|TM8Y
5869/TAT/HO/09/2022|TI4C|TPTN
5869/TAT/HO/09/2022|TI4C|TGG0
5869/TAT/HO/09/2022|TI4C|T03W
5869/TAT/HO/09/2022|TI4C|TUP7
5869/TAT/HO/09/2022|TI4C|TLO9
5869/TAT/HO/09/2022|TI4C|FKZ4
5869/TAT/HO/09/2022|TI4C|TA8N
5869/TAT/HO/09/2022|TI4C|FEMX
5869/TAT/HO/09/2022|TI4C|TY9P
5869/TAT/HO/09/2022|TI4C|TLSA
5869/TAT/HO/09/2022|TI4C|T3BN
5869/TAT/HO/09/2022|TI4C|T305
5869/TAT/HO/09/2022|TI4C|F9J6
5869/TAT/HO/09/2022|TI4C|TS1S
5869/TAT/HO/09/2022|TI4C|TJKC
5869/TAT/HO/09/2022|TI4C|TWLY
5869/TAT/HO/09/2022|TI4C|TWXJ
5869/TAT/HO/09/2022|TI4C|RBO7
5869/TAT/HO/09/2022|TI4C|TXD6
5869/TAT/HO/09/2022|TI4C|TBOL
5869/TAT/HO/09/2022|TI4C|TE5J
5869/TAT/HO/09/2022|TI4C|TAMC
5869/TAT/HO/09/2022|TI4C|TAS3
5869/TAT/HO/09/2022|TI4C|T6EB
5869/TAT/HO/09/2022|TI4C|T7IP
5869/TAT/HO/09/2022|TI4C|TGRR
5869/TAT/HO/09/2022|TI4C|TJLJ
5869/TAT/HO/09/2022|TI4C|TGUG
5869/TAT/HO/09/2022|TI4C|TO73
5869/TAT/HO/09/2022|TI4C|FUYU
5869/TAT/HO/09/2022|TI4C|T8ND
5869/TAT/HO/09/2022|TI4C|TEG3
5869/TAT/HO/09/2022|TI4C|TOTA
5869/TAT/HO/09/2022|TI4C|TOLA
5869/TAT/HO/09/2022|TI4C|TOPS
5869/TAT/HO/09/2022|TI4C|F4UR
5869/TAT/HO/09/2022|TI4C|FIBO
5869/TAT/HO/09/2022|TI4C|TGAL
5869/TAT/HO/09/2022|TI4C|TALE
5869/TAT/HO/09/2022|TI4C|TAPE
5869/TAT/HO/09/2022|TI4C|T4RI
5869/TAT/HO/09/2022|TI4C|F4DC
5869/TAT/HO/09/2022|TI4C|TEBI
5869/TAT/HO/09/2022|TI4C|T2T2
5869/TAT/HO/09/2022|TI4C|TADT
5869/TAT/HO/09/2022|TI4C|FTTM
5869/TAT/HO/09/2022|TI4C|T4BU
5869/TAT/HO/09/2022|TI4C|TM5D
5869/TAT/HO/09/2022|TI4C|TTP7
5869/TAT/HO/09/2022|TI4C|F2AC
5869/TAT/HO/09/2022|TI4C|TTR1
5869/TAT/HO/09/2022|TI4C|TNDU
5869/TAT/HO/09/2022|TI4C|TNRB
5869/TAT/HO/09/2022|TI4C|TZUT
5869/TAT/HO/09/2022|TI4C|FEZE
5869/TAT/HO/09/2022|TI4C|FEND
5869/TAT/HO/09/2022|TI4C|T4AO
5869/TAT/HO/09/2022|TI4C|FUDF
5869/TAT/HO/09/2022|TI4C|F3GY
5869/TAT/HO/09/2022|TI4C|FTHN
5869/TAT/HO/09/2022|TI4C|T0Q7
5869/TAT/HO/09/2022|TI4C|TJN2
5869/TAT/HO/09/2022|TI4C|TOTU
5869/TAT/HO/09/2022|TI4C|TJIN
5869/TAT/HO/09/2022|TI4C|T8T9
5869/TAT/HO/09/2022|TI4C|TYMY
5869/TAT/HO/09/2022|TI4C|T4RG
5869/TAT/HO/09/2022|TI4C|THT1
5869/TAT/HO/09/2022|TI4C|TKLG
5869/TAT/HO/09/2022|TI4C|TEMP
5869/TAT/HO/09/2022|TI4C|TKAK
5869/TAT/HO/09/2022|TI4C|T89M
5869/TAT/HO/09/2022|TI4C|T31W
5869/TAT/HO/09/2022|TI4C|TSB6
5869/TAT/HO/09/2022|TI4C|TAUP
5869/TAT/HO/09/2022|TI4C|FRSI
5869/TAT/HO/09/2022|TI4C|T7XU
5869/TAT/HO/09/2022|TI4C|T4S6
5869/TAT/HO/09/2022|TI4C|TNE4
5869/TAT/HO/09/2022|TI4C|T3JU
5869/TAT/HO/09/2022|TI4C|T6MQ
5869/TAT/HO/09/2022|TI4C|FMYW
5869/TAT/HO/09/2022|TI4C|TB7X
5869/TAT/HO/09/2022|TI4C|TO4K
5869/TAT/HO/09/2022|TI4C|T8GS
5869/TAT/HO/09/2022|TI4C|TO7B
5869/TAT/HO/09/2022|TI4C|TC7S
5869/TAT/HO/09/2022|TI4C|TRFN
5869/TAT/HO/09/2022|TI4C|TQ8D
5869/TAT/HO/09/2022|TI4C|TNZ1
5869/TAT/HO/09/2022|TI4C|TUNB
5869/TAT/HO/09/2022|TI4C|TPML
5869/TAT/HO/09/2022|TI4C|TU6S
5869/TAT/HO/09/2022|TI4C|T5T3
5869/TAT/HO/09/2022|TI4C|T5R6
5869/TAT/HO/09/2022|TI4C|TQPO
5869/TAT/HO/09/2022|TI4C|TCRN
5869/TAT/HO/09/2022|TI4C|TCMJ
5869/TAT/HO/09/2022|TI4C|TP0K
5869/TAT/HO/09/2022|TI4C|TAP5
5869/TAT/HO/09/2022|TI4C|TBOI
5869/TAT/HO/09/2022|TI4C|TBSA
5869/TAT/HO/09/2022|TI4C|T5LG
5869/TAT/HO/09/2022|TI4C|FNZY
5869/TAT/HO/09/2022|TI4C|TMXK
5869/TAT/HO/09/2022|TI4C|TP7F
5869/TAT/HO/09/2022|TI4C|FLY0
5869/TAT/HO/09/2022|TI4C|TITB
5869/TAT/HO/09/2022|TI4C|TWN1
5869/TAT/HO/09/2022|TI4C|TXR0
5869/TAT/HO/09/2022|TI4C|TK2S
5869/TAT/HO/09/2022|TI4C|TDEN
5869/TAT/HO/09/2022|TI4C|FEIE
5869/TAT/HO/09/2022|TI4C|TKQP
5869/TAT/HO/09/2022|TI4C|FOEY
5869/TAT/HO/09/2022|TI4C|FN54
5869/TAT/HO/09/2022|TI4C|TSYK
5869/TAT/HO/09/2022|TI4C|TFOO
5869/TAT/HO/09/2022|TI4C|T8OM
5869/TAT/HO/09/2022|TI4C|T9IR
5869/TAT/HO/09/2022|TI4C|TSLT
5869/TAT/HO/09/2022|TI4C|TO1A
5869/TAT/HO/09/2022|TI4C|TRV9
5869/TAT/HO/09/2022|TI4C|TT1G
5869/TAT/HO/09/2022|TI4C|T2Z0
5869/TAT/HO/09/2022|TI4C|TOPY
5869/TAT/HO/09/2022|TI4C|TCUO
5869/TAT/HO/09/2022|TI4C|TJJU
5869/TAT/HO/09/2022|TI4C|T71P
5869/TAT/HO/09/2022|TI4C|FZXM
5869/TAT/HO/09/2022|TI4C|TO07
5869/TAT/HO/09/2022|TI4C|FBFX
5869/TAT/HO/09/2022|TI4C|T4AK
5869/TAT/HO/09/2022|TI4C|TGV7
5869/TAT/HO/09/2022|TI4C|TU0I
5869/TAT/HO/09/2022|TI4C|TR0C
5869/TAT/HO/09/2022|TI4C|TP3L
5869/TAT/HO/09/2022|TI4C|T94S
5869/TAT/HO/09/2022|TI4C|TK0Z
5869/TAT/HO/09/2022|TI4C|T6ZO
5869/TAT/HO/09/2022|TI4C|T6YZ
5869/TAT/HO/09/2022|TI4C|TGEY
5869/TAT/HO/09/2022|TI4C|T5WI
5869/TAT/HO/09/2022|TI4C|TITX
5869/TAT/HO/09/2022|TI4C|TUNC
5869/TAT/HO/09/2022|TI4C|F86T
5869/TAT/HO/09/2022|TI4C|FRJ0
5869/TAT/HO/09/2022|TI4C|T8B7
5869/TAT/HO/09/2022|TI4C|FYSM
5869/TAT/HO/09/2022|TI4C|TZGC
5869/TAT/HO/09/2022|TI4C|T6YY
5869/TAT/HO/09/2022|TI4C|TWKM
5869/TAT/HO/09/2022|TI4C|T8E8
5869/TAT/HO/09/2022|TI4C|TR0X
5869/TAT/HO/09/2022|TI4C|TC1N
5869/TAT/HO/09/2022|TI4C|TRMR
5869/TAT/HO/09/2022|TI4C|TIMP
5869/TAT/HO/09/2022|TI4C|FHMH
5869/TAT/HO/09/2022|TI4C|T0D9
5869/TAT/HO/09/2022|TI4C|FUFF
5869/TAT/HO/09/2022|TI4C|FU16
5869/TAT/HO/09/2022|TI4C|TI61
5869/TAT/HO/09/2022|TI4C|FLIX
5869/TAT/HO/09/2022|TI4C|T39N
5869/TAT/HO/09/2022|TI4C|TN4C
5869/TAT/HO/09/2022|TI4C|TKU7
5869/TAT/HO/09/2022|TI4C|TBBC
5869/TAT/HO/09/2022|TI4C|T2Y2
5869/TAT/HO/09/2022|TI4C|TYCB
5869/TAT/HO/09/2022|TI4C|TA8F
5869/TAT/HO/09/2022|TI4C|TNWV
5869/TAT/HO/09/2022|TI4C|TT3K
5869/TAT/HO/09/2022|TI4C|TOKX
5869/TAT/HO/09/2022|TI4C|FQW9
5869/TAT/HO/09/2022|TI4C|T7E6
5869/TAT/HO/09/2022|TI4C|TM3V
5869/TAT/HO/09/2022|TI4C|TME3
5869/TAT/HO/09/2022|TI4C|TTXG
5869/TAT/HO/09/2022|TI4C|T1BP
5869/TAT/HO/09/2022|TI4C|TEYA
5869/TAT/HO/09/2022|TI4C|TG0F
5869/TAT/HO/09/2022|TI4C|TANE
5869/TAT/HO/09/2022|TI4C|TNER
5869/TAT/HO/09/2022|TI4C|TAPP
5869/TAT/HO/09/2022|TI4C|TT2D
5869/TAT/HO/09/2022|TI4C|TBPW
5869/TAT/HO/09/2022|TI4C|TUX2
5869/TAT/HO/09/2022|TI4C|TK1U
5869/TAT/HO/09/2022|TI4C|TSUG
5869/TAT/HO/09/2022|TI4C|F4O3
5869/TAT/HO/09/2022|TI4C|TAYI
5869/TAT/HO/09/2022|TI4C|TEYU
